Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2021-07-23,2021,7,23,Friday,29,2021-29,143.82,144.97,143.21,144.81,71447400,0.011989406020338045,141.92642857142857,130.3528
2021-07-26,2021,7,26,Monday,30,2021-30,144.53,146.05,143.97,145.23,72434100,0.002894455582819866,142.41214285714287,130.8212
2021-07-27,2021,7,27,Tuesday,30,2021-30,145.36,145.44,141.88,143.06,104818600,-0.01490037175018033,142.565,131.1978
2021-07-28,2021,7,28,Wednesday,30,2021-30,141.15,143.26,138.94,141.32,118931200,-0.012196208029872424,142.68642857142856,131.5626
2021-07-29,2021,7,29,Thursday,30,2021-30,141.04,142.85,140.93,141.96,56699500,0.004552494921187256,142.72285714285712,131.9678
2021-07-30,2021,7,30,Friday,30,2021-30,140.73,142.64,140.47,142.18,70440600,0.001510585383543983,142.81785714285715,132.3806
2021-08-02,2021,8,2,Monday,31,2021-31,142.66,143.24,141.58,141.85,62880000,-0.0023312540004369886,142.81,132.7356
2021-08-03,2021,8,3,Tuesday,31,2021-31,142.13,144.3,141.51,143.64,64786600,0.012644672284130465,142.68571428571428,133.1632
2021-08-04,2021,8,4,Wednesday,31,2021-31,143.55,144.06,142.59,143.24,56368300,-0.002782264511122512,142.57928571428573,133.55020000000002
2021-08-05,2021,8,5,Thursday,31,2021-31,143.27,144.11,142.48,143.35,46397700,0.000748559446507091,142.62642857142856,133.9432
2021-08-06,2021,8,6,Friday,31,2021-31,142.87,143.61,142.17,142.66,54126800,-0.004767099857776791,142.89857142857144,134.3234
2021-08-09,2021,8,9,Monday,32,2021-32,142.72,143.21,142.06,142.61,48908700,-0.0003421534188549069,142.90928571428572,134.7332
2021-08-10,2021,8,10,Tuesday,32,2021-32,142.96,144.2,141.84,142.14,69023100,-0.0033538018027888805,142.93857142857144,135.1468
2021-08-11,2021,8,11,Wednesday,32,2021-32,142.58,143.23,142.07,142.39,48493500,0.0017853880092264518,142.88857142857142,135.5718
2021-08-12,2021,8,12,Thursday,32,2021-32,142.71,145.5,142.37,145.35,72282600,0.02077318660183103,142.92714285714285,136.0408
2021-08-13,2021,8,13,Friday,32,2021-32,145.43,145.89,144.74,145.55,59375000,0.001410733373492068,142.95,136.5434
2021-08-16,2021,8,16,Monday,33,2021-33,145.01,147.59,142.99,147.53,103296000,0.013547779741649446,143.2692857142857,137.03979999999999
2021-08-17,2021,8,17,Tuesday,33,2021-33,146.66,148.07,145.54,146.62,92229700,-0.006154085160730904,143.64785714285713,137.5178
2021-08-18,2021,8,18,Wednesday,33,2021-33,146.24,147.13,142.67,142.88,86326000,-0.02550081368857615,143.71357142857144,137.9046
2021-08-19,2021,8,19,Thursday,33,2021-33,141.58,144.48,141.06,143.21,86960300,0.002322910760648389,143.78714285714287,138.2904
2021-08-20,2021,8,20,Friday,33,2021-33,143.93,144.97,143.29,144.66,60549600,0.010156696003615906,143.98785714285714,138.725
2021-08-23,2021,8,23,Monday,34,2021-34,144.78,146.62,144.37,146.15,60131800,0.010257301129582563,144.16714285714286,139.1654
2021-08-24,2021,8,24,Tuesday,34,2021-34,145.89,147.27,145.6,146.06,48606400,-0.0006013777815550014,144.3685714285714,139.5428
2021-08-25,2021,8,25,Wednesday,34,2021-34,146.25,146.74,144.28,144.83,58991300,-0.00842122110108745,144.4742857142857,139.91199999999998
2021-08-26,2021,8,26,Thursday,34,2021-34,144.82,145.57,144.0,144.03,48597200,-0.005527182036900724,144.57214285714286,140.25539999999998
2021-08-27,2021,8,27,Friday,34,2021-34,143.97,145.21,143.34,145.07,55802400,0.0071847388341395035,144.74785714285716,140.5876
2021-08-30,2021,8,30,Monday,35,2021-35,145.46,149.84,145.07,149.48,90956700,0.030416981522652042,145.27214285714285,141.03379999999999
2021-08-31,2021,8,31,Tuesday,35,2021-35,149.03,149.17,147.69,148.22,86453100,-0.0084246224492317,145.68857142857144,141.41899999999998
2021-09-01,2021,9,1,Wednesday,35,2021-35,149.19,151.29,148.72,148.88,80313700,0.004478446126821467,145.94071428571428,141.7846
2021-09-02,2021,9,2,Thursday,35,2021-35,150.21,151.04,148.77,149.99,71115500,0.0074748345800956795,146.25785714285715,142.178
2021-09-03,2021,9,3,Friday,35,2021-35,150.1,150.95,149.45,150.63,57808700,0.004230691290969091,146.4792857142857,142.5898
2021-09-07,2021,9,7,Tuesday,36,2021-36,151.28,153.52,150.72,152.96,82278300,0.015489188241896601,146.93214285714288,143.054
2021-09-08,2021,9,8,Wednesday,36,2021-36,153.25,153.3,150.32,151.42,74420200,-0.010083331304982401,147.54214285714286,143.4548
2021-09-09,2021,9,9,Thursday,36,2021-36,151.79,152.4,150.29,150.4,57305700,-0.006705407768623162,148.05571428571426,143.805
2021-09-10,2021,9,10,Friday,36,2021-36,151.31,151.78,145.16,145.43,140893200,-0.033101645520487,148.1107142857143,144.0436
2021-09-13,2021,9,13,Monday,37,2021-37,147.05,147.82,145.21,145.99,102404300,0.0038935389685983424,148.0992857142857,144.2874
2021-09-14,2021,9,14,Tuesday,37,2021-37,146.77,147.48,143.42,144.6,109296300,-0.009561999249772857,147.99500000000003,144.4508
2021-09-15,2021,9,15,Wednesday,37,2021-37,145.03,145.89,142.89,145.48,83281300,0.00614365423063612,148.04142857142855,144.5918
2021-09-16,2021,9,16,Thursday,37,2021-37,144.91,145.43,143.72,145.25,68034100,-0.0016106768461191523,148.1285714285714,144.6784
2021-09-17,2021,9,17,Friday,37,2021-37,145.28,145.28,142.29,142.59,129868800,-0.01834776320223752,147.95142857142858,144.7378
2021-09-20,2021,9,20,Monday,38,2021-38,140.38,141.39,137.91,139.54,123478900,-0.02136125367582964,147.24142857142857,144.6996
2021-09-21,2021,9,21,Tuesday,38,2021-38,140.51,141.16,139.38,140.02,75834000,0.0034280387963581127,146.65571428571428,144.68300000000002
